id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
245303,21248,KU05,3600,60,ASP,1,0,16,46.3244018554687,-113.305000305175,,179,,34,46.3143997192382,-113.305000305175,,359,
240404,21249,KU06,3400,60,ASP,1,0,15,42.0502014160156,-110.968002319335,6260,163.3,1400,33,42.0413017272949,-110.963996887207,,343.3,
242451,21250,KU07,3500,40,ASP,1,0,1,37.5410995483398,-110.71499633789,,21.7,82,19,37.5499992370605,-110.710998535156,,201.7,65
239989,21251,KU08,4800,75,ASP,1,0,13,36.5736007690429,-114.446998596191,,150.2,,31,36.5619010925293,-114.439002990722,,330.2,
245338,21252,KU09,3200,55,ASP,0,0,10,48.4831008911132,-108.775001525878,,116,,28,48.4791984558105,-108.763000488281,,296,
241816,21253,KU10,3457,50,ASP,1,0,3,42.1041984558105,-111.916999816894,4727,48,,21,42.1105003356933,-111.906997680664,4718,228,330
241817,21253,KU10,2437,30,GVL,0,0,16,42.1096000671386,-111.91300201416,4723,179,,34,42.1029014587402,-111.91300201416,4723,359,
241213,21254,KU12,4500,50,ASP,1,0,4,43.9425010681152,-111.691001892089,4946,59,300,22,43.9488983154296,-111.677001953125,4966,239,540
243981,21255,KU13,4505,60,ASP,0,0,17,38.2561988830566,-112.224998474121,,183.1,,35,38.2438011169433,-112.225997924804,,3.1,
244356,21256,KU14,4927,100,ASP,1,0,16,39.7458992004394,-111.872001647949,4978,180,572,34,39.7323989868164,-111.872001647949,5009,360,
240965,21257,KU25,6100,60,ASP,1,0,10,43.5522003173828,-109.703002929687,7272,113,,28,43.5457000732421,-109.681999206542,7238,293,
241414,21258,KU30,3500,50,ASP,0,0,18,36.0252990722656,-114.333999633789,1498,188.1,,36,36.0158004760742,-114.335998535156,,8.1,
242300,21259,KU34,5600,75,ASP,1,0,13,38.9674987792968,-110.233001708984,,142.5,,31,38.9552993774414,-110.221000671386,,322.5,
242550,21260,KU36,3650,50,ASP,1,0,6,42.9202995300293,-112.888000488281,4470,81,,24,42.9219017028808,-112.874000549316,4450,261,
239817,21261,KU42,5860,100,ASP,1,0,16,40.6274986267089,-111.994003295898,4603,172,,34,40.6115989685058,-111.991996765136,4598,352,238
243408,21262,KU43,4817,75,ASP,1,0,16,37.9438018798828,-109.347999572753,,172,,34,37.9306983947753,-109.345001220703,,352,
243040,21263,KU52,2501,50,GRS,0,0,7,38.2262992858886,-112.682998657226,5839,84.5,,25,38.2270011901855,-112.674003601074,5843,264.5,
243041,21263,KU52,5100,75,ASP,1,0,13,38.2375984191894,-112.679000854492,5786,148.3,120,31,38.2257003784179,-112.669998168945,5860,328.3,
241600,21264,KU55,5693,75,ASP,1,0,18,37.852798461914,-112.388999938964,6759,196.4,,36,37.8377990722656,-112.394996643066,6746,16.4,
245683,21265,KU56,3500,50,ASP,1,0,1,43.6399993896484,-111.930999755859,4835,26,,19,43.6486015319824,-111.926002502441,4845,206,200
245842,21266,KU58,3550,50,ASP,1,0,17,42.4310989379882,-112.109001159667,4886,185,,35,42.4213981628418,-112.110000610351,4906,5,
241314,21267,KU62,4400,60,ASP,0,0,12,43.9091987609863,-113.608001708984,,136,,30,43.9006004333496,-113.596000671386,5876,316,
239916,21268,KU63,5000,110,GRE,0,0,5,44.412799835205,-115.325996398925,6335,66,,23,44.4183006286621,-115.307998657226,6370,246,
241595,21269,KU68,5199,75,ASP,1,0,9,44.9140014648437,-108.453002929687,4080,105.8,,27,44.910099029541,-108.43399810791,4090,285.8,
241596,21269,KU68,1866,65,GRS,0,0,16,44.913101196289,-108.450996398925,4080,171.8,,34,44.9080009460449,-108.449996948242,4085,351.8,
243935,21270,KU69,4390,75,GRS,0,1,8,40.1916999816894,-110.386001586914,,90,,26,40.1916999816894,-110.370002746582,,270,
243936,21270,KU69,5800,60,ASP,1,0,17,40.1986007690429,-110.380996704101,,180,,35,40.1828002929687,-110.380996704101,,360,
243148,21271,KU70,4300,60,ASP,1,0,12,44.4981002807617,-116.022003173828,4742,136,,30,44.4897003173828,-116.011001586914,4738,316,
243523,21272,KU76,5000,75,ASP,1,0,10,43.1343002319335,-115.737998962402,3163,116,,28,43.1282005310058,-115.721000671386,3155,296,
244439,21273,KU77,5700,100,ASP,1,0,12,40.1469993591308,-111.668998718261,,133.3,,30,40.1362991333007,-111.653999328613,,313.3,290
243805,21274,KU78,2500,50,ASP,0,1,13,42.6432991027832,-111.581001281738,5814,148,,31,42.6375007629394,-111.575996398925,5834,328,
243806,21274,KU78,3500,50,ASP,1,0,16,42.6446990966796,-111.581001281738,5819,171,300,34,42.6352996826171,-111.579002380371,5839,351,
239917,21275,KU79,4100,200,GRS,0,0,7,45.3793983459472,-115.205001831054,5750,93,,25,45.3788986206054,-115.189002990722,5715,273,
239918,21275,KU79,2700,140,GRS,0,0,15,45.3861007690429,-115.199996948242,5765,161,,33,45.3788986206054,-115.196998596191,5740,341,
239919,21276,KU81,4550,90,GRS,0,0,16,45.2977981567382,-114.948997497558,7030,180,,34,45.285301208496,-114.948997497558,6940,360,
245081,21277,KU82,3600,50,ASP,1,0,17,44.7546997070312,-116.445999145507,2963,188,,35,44.7449989318847,-116.447998046875,2930,8,
241533,21278,KU89,3050,60,ASP,1,0,8,42.9460983276367,-115.335998535156,2530,96,,26,42.9453010559082,-115.323997497558,2536,276,
245112,21279,KU96,5700,60,ASP,1,0,1,37.434700012207,-110.572998046875,,23.2,,19,37.4491996765136,-110.566001892089,,203.2,
244578,21280,KUAO,5004,100,ASP,1,0,17,45.2538986206054,-122.768997192382,196,187,,35,45.2402992248535,-122.771003723144,196,7,
